OR,OT
000172-14,"An Ordinance amending Section 42 of the 2005 Revenue Code of Davao City from ""Time and Place of the Payment - The tax shall be due and payable in advance to the City Treasurer or his duly authorized representative before the materials are extracted and shall be based on the volume applied for in the application for quarry concession"" to ""Tax shall be due and payable every quarter of the Calendar Year to the City Treasurer or his duly authorized representative after the materials are extracted based on the volume applied for in the application for quarry concession"""
000177-14,An Ordinance placing underground all electrical and telecommunication wires and cables within the vicinity of City Hall and the Sangguniang Panlungsod of the City of Davao
000178-14,"An Ordinance amending City Ordinance No. 0195-14, Series of 2004, otherwise known as the ""Amended rerouting scheme of Davao City"" for a 90-day experimental period"
000173-14,"An Ordinance regulating the use of some streets near the Mintal Public Market in Barangay Mintal, Tugbok District, this city"
000227-14,An ordinance for the creation of Trust Fund Account for the Office of the Building Official and prescribing procedural guidelines for the disposition and use of the Fifteen Percent (15%) generated from building permit fees and other charges under the National Building Code of the Philippines (PD 1096)
000231-14,An ordinance amending the Tourism Code of Davao City
000284-15,"An Ordinance granting Legislative Authority to City Mayor Rodrigo R. Duterte to enter into and sign, for and in behalf of the City Government of Dava (CGD), the Partnership Agreement between the Philippine Commission on Women and the City Government of Davao for the implementation of the Local Gender and Development Resource Program in Davao City"
000278-15,"An ordinance granting legislative authority to City Mayor Rodrigo R. duterte, to sign for and in behalf of the City Government of Davao the Memorandum of Understanding to be entered into by and between Alsons Development & Investment Corporation (ALSONS DEV) and the City Government of Davao relative to the establishment of 911 Satellite Office in Cabantian, Davao City"
000190-09,An Ordinance regulating motorcades within the territorial jurisdiction of Davao City
000314-15,"An ordinance authorizing the City Mayor, Rodrigo R. Duterte, to enter into and sign, for and  in behalf of the City Government of Davao, the Memorandum of Understanding (MOU) of the Friendship City Agreement between Davao City and Lucena City"
000318-15,"An Ordinance granting legislative authority to City Mayor Rodrigo R. Duterte to enter into and sign, for and in behalf of the City Government of Davao, the Sponsorship Agreement between the Provincial Government of Davao del Norte as the Organizing Committee of the Palarong Pambansa 2015 and the City Government of Davao"
000328-15,"An ordinance amending Ordinance No. 0365-07, Series of 2007, particularly Section 2, setting forth the covered area from 4,778 square meters to 199,325 square meters"
000329-15,"An ordinance amending Ordinance No. 2021, Series of 1994, particularly Section 1(A)  (1) which establishes only two (2) satellite terminals in Bankerohan, Davao City, in order to establish three (3) satllite terminals in the same area"
000330-15,"An ordinance authorizing the City Mayor to enter into and sign for and in behalf of the City of Davao, the Memorandum of Agreement (MOA) to be entered into by and between the City Government of Davao and the Department of Agriculture XI, in relation to the ""Livelihood Project at the Animal Production Center, located in Davao City, funded under Agri-Pinoy Livestock program CY 2014"""
000331-15,"An ordinance authorizing the City Mayor to enter into and sign for and in behalf of the City of Davao, the Memorandum of Agreement (MOA) to be entered into by and between the City Government of Davao and the Department of Agriculture XI, in relation to the ""Procurement of Farm Machiniries (Feed Mill) located in Davao City, funded under Agri-Pinoy Livestock Program CY 2014"""
000123-03,"An ordinance authorizing the City Treasurer`s Office to accept registration and to collect necessary fees from BMBE applicants and to correspondingly issue a Certificate of Authority (CA) to enable them to avail of the benefits under R.A. 9178 otherwise known as ""An Act To Promote the Establishment of Barangay Micro Business Enterprises (BMBEs), providing incentives and benefits therefore, and for other purposes"""
000171-09,"An Ordinance known as ""The Davao City Anti-Littering Ordinance of 2009"" further amending by substitution Ordinance No. 98, Series of 1956, otherwise known as the ""Anti-Littering Ordinance of the City of Davao"", as amended by Ordinance No. 105, Series of 1986"""
000034-13,"An Ordinance regulating the use of some streets near the Mintal Public Market in Barangay Mintal, this City, every Sunday from 6:00 A.M. to 6:00 P.M."
000035-13,An Ordinance approving the 2013-2016 Disaster Risk Reduction Management Plan prepared by the Davao City Risk Reduction and Management Council
000056-13,"An Ordinance allowing St. Peter chapels to operate a Crematorium at their funeral Parlor as an additional service or business line located at Barangay Panacan, Bunawan District, this City."
000066-13,"An ordinance authorizing the City Mayor to enter into and sign, for and in behalf of the City Government of Davao,the Memorandum of Agreement to be entered into by and between the City Government of Davao and Southern Philippines and Medical Center (SPMC) relative to the establishment of a partnership and referral system on outsourced services to be provided to the nineteen (19) Helath Centers of Davao City."
000073-13,An ordinance granting barangay length of service benefits/incentives to all barangay elected officials after their tenure of office and providing funds therefor
000052-13,"An Ordinance further amending Ordinance No. 153-A, Series of 1990, entitled ""An Ordinance imposing parking fees on all vehicle owners/drivers for using certain streets in Davao City as parking spaces and for other purposes,"" as amended by Ordinance No. 1767, Series of 1990, Ordinance No. 301, Series of 1991, Ordinance No. 687, Series of 1992, Ordinance No. 1062, Series of 1993, Ordinance No. 006--01, Series of 2001 and Ordinance No. 0334-12, Series of 2012"
000053-13,An ordinance establishing the establishment of a hostel at the Davao City Overland Transport Terminal (DCOTT) prescribing its rental rates and for other purposes
000082-13,"An Ordinance renaming Magsaysay Elementary School, located at Daliao, Toril District, this City, to Ramon F. Magsaysay Elementary  School"
000101-14,"An Ordinance to provide additional area of one-half hectare out of the city-owned cemetery at Ma-a, for the exclusive use of the muslim comunity as burial site in Davao City and appropriating funds for the construction of its perimeter fence"
000006-01,"Amending Ordinance No. 153-A, series of 1990, otherwise known as the ""Parking Fee Ordinance of Davao City"" as amended by Ordinance No. 1767, series of 1990, Ordinance No. 301, series of 1991, Ordinance No. 687, series of 1992, Ordinance No. 1062, series of 1993"
000016-01,"Amending Section 1 of Ordinance No. 2597, series of 1995, as amended by Ordinance  No. 134, series of 2001, otherwise known as ""An Ordinance Banning the Entry of Cargo/Hauling Trucks in Certain Streets of the City of Davao during specific hours of the day and for other purposes"", by exempting cargo/hauling trucks carrying fruits and vegetables which are perishable in nature"
