OR,OT
"CITY ORDINANCE No. 842, s-2018",“AN ORDINANCE REGULATING THE PRACTICE OF TRADITIONAL HOME BIRTH DELIVERY OR DELIVERIES ATTENDED BY A TRADITIONAL BIRTH ATTENDANT OR MANANABANG”.
"CITY ORDINANCE NO. 825, s-2017","“AN ORDINANCE RECONSTITUTING THE MEMBERS OF THE CITY TRICYCLE FRANCHISING AND REGULATORY BOARD (CTFRB) PRESCRIBING ITS FUNCTIONS AND PROCEDURES AND PROVIDING MOTORIZED TRICYCLE FOR HIRE (MTH), TRICYCLE UTILITY VEHICLE (TUV) AND TRICYCLE UTILITY FOR HIRE (TUH) GUIDELINES, REGULATIONS AND OPERATIONS, THE COLLECTION OF FEES, CHARGES,ADMINISTRATIVE PROVISIONS AND PROVIDING PENALTIES FOR VIOLATION THEREOF”."
"CITY ORDINANCE NO. 837, s-2018","“AN ORDINANCE ESTABLISHING FUNERAL AND BURIAL ASSISTANCE FOR INDIGENT TAGUMENYOS, PROVIDING ITS MANAGEMENT, PROCEDURES AND GUIDELINES AND APPROPRIATING FUNDS THEREFOR”."
"CITY ORDINANCE NO. 844, s-2018","AN ORDINANCE AMENDING THE TITLE, SECTION 1, SECTION 2 AND SECTION 3 OF CITY ORDINANCE NO. 820, S-2017 “AN ORDINANCE ENTERING INTO A LOAN AGREEMENT WITH THE DEVELOPMENT BANK OF THE PHILIPPINES, IN THE AMOUNT OF SIX HUNDRED EIGHTY MILLION PESOS (P 680,000,000.00) TO FUND THE ACQUISITION OF HEAVY EQUIPMENT,ACQUISITION OF SERVICE VEHICLES, ACQUISITION OF continue reading : CITY ORDINANCE NO. 844, s-2018"
"CITY ORDINANCE NO. 838, s-2018","“AN ORDINANCE CREATING THE CITY HISTORICAL, CULTURAL AND ARTS COUNCIL IN THE CITY OF TAGUM”."
"CITY ORDINANCE NO. 839, s-2018","“AN ORDINANCE INSTITUTIONALIZING THE HUGPONG SERBISYO PARA SA TAGUMENYOS FESTIVAL, PRESCRIBING ITS GUIDELINES AND PROVIDING FUNDS THEREOF”."
"CITY ORDINANCE NO. 827, s-2017",“AN ORDINANCE DECLARING THE AREA IN FRONT OF THE HISTORICAL AND CULTURAL CENTER AS THE RIZAL PARK OF TAGUM CITY”.
"CITY ORDINANCE NO. 841, s-2018","AN ORDINANCE AMENDING SECTION 2 OF CITY ORDINANCE NO. 287, S-2008, “AN ORDINANCE ESTABLISHING A TECHNICAL VOCATIONAL INSTITUTE IN THE CITY OF TAGUM, PROVINCE OF DAVAO DEL NORTE TO BE KNOWN AS TAGUM CITY TRADE SCHOOL”."
"CITY ORDINANCE NO. 829, s-2017",AN ORDINANCE GRANTING THE TEMPORARY CLOSURE OF PORTIONS OF ARELLANO AND BONIFACIO STREETS FOR THE TRADE FAIR ACTIVITY AS PART OF THE COOP MONTH CELEBRATION 2017 FROM 4:00 IN THE AFTERNOON TILL 11:00 IN THE EVENING.
"CITY ORDINANCE NO. 828, S- 2017","“AN ORDINANCE GRANTING TEMPORARY CLOSURE FROM CORNER  RIZAL AND OSMEÑA STREETS TO CORNER RIZAL AND BONIFACIO STREETS TO CORNER BONIFACIO  AND MABINI STREETS, ALL OF  BARANGAY MAGUGPO POBLACION, TAGUM CITY  FOR THE 22ND MINDANAO AREA SPECIAL ASSEMBLY OF THE ORDER OF THE KNIGHTS OF RIZAL ON OCTOBER 7, 2017, SATURDAY FROM TWELVE NOON (12:00 NN) continue reading : CITY ORDINANCE NO. 828, S- 2017"
